Similarity,Accumulative proportion
0.353353,0.00286087
0.353405,0.002865217
0.353478,0.002869565
0.3535,0.002873913
0.353728,0.002878261
0.353867,0.002882609
0.353939,0.002886957
0.35448,0.002891304
0.354684,0.002895652
0.354697,0.0029
0.354768,0.002904348
0.355147,0.002908696
0.355949,0.002913043
0.356416,0.002917391
0.356807,0.002921739
0.356842,0.002926087
0.357023,0.002930435
0.357049,0.002934783
0.357156,0.00293913
0.357251,0.002943478
0.35752,0.002947826
0.357551,0.002952174
0.357779,0.002956522
0.357816,0.00296087
0.358146,0.002965217
0.35832,0.002969565
0.358379,0.002973913
0.358434,0.002978261
0.358877,0.002982609
0.359037,0.002986957
0.359039,0.002991304
0.359069,0.002995652
0.35912,0.003
0.359122,0.003004348
0.359172,0.003008696
0.359261,0.003013043
0.359612,0.003017391
0.359728,0.003021739
0.359929,0.003026087
0.360337,0.003030435
0.360537,0.003034783
0.360551,0.00303913
0.360552,0.003043478
0.360773,0.003047826
0.360783,0.003052174
0.361065,0.003056522
0.361147,0.00306087
0.361205,0.003065217
0.361217,0.003069565
0.361592,0.003073913
0.361827,0.003078261
0.361925,0.003082609
0.362206,0.003086957
0.362417,0.003091304
0.362619,0.003095652
0.362761,0.0031
0.363391,0.003104348
0.363407,0.003108696
0.363422,0.003113043
0.3637,0.003117391
0.363762,0.003121739
0.364114,0.003126087
0.3643,0.003130435
0.364312,0.003134783
0.364386,0.00313913
0.364403,0.003143478
0.364869,0.003147826
0.365319,0.003152174
0.365488,0.003156522
0.365528,0.00316087
0.366052,0.003165217
0.366207,0.003169565
0.366368,0.003173913
0.366687,0.003178261
0.366773,0.003182609
0.366844,0.003186957
0.367105,0.003195652
0.367544,0.0032
0.367785,0.003204348
0.36798,0.003208696
0.368283,0.003213043
0.368403,0.003217391
0.368799,0.003221739
0.368841,0.003226087
0.369235,0.003230435
0.369243,0.003234783
0.36962,0.00323913
0.369686,0.003243478
0.36985,0.003247826
0.370362,0.003252174
0.370618,0.003256522
0.370889,0.00326087
0.371131,0.003265217
0.371623,0.003269565
0.371776,0.003273913
0.372082,0.003278261
0.372099,0.003282609
0.372323,0.003286957
0.372332,0.003291304
0.372357,0.003295652
0.372563,0.0033
0.372648,0.003304348
0.3731,0.003308696
0.373829,0.003313043
0.373974,0.003317391
0.3741,0.003321739
0.374402,0.003326087
0.374947,0.003330435
0.374968,0.003334783
0.375113,0.00333913
0.375318,0.003343478
0.375394,0.003347826
0.375424,0.003352174
0.375461,0.003356522
0.375486,0.00336087
0.375729,0.003365217
0.375791,0.003369565
0.376007,0.003373913
0.376021,0.003378261
0.376093,0.003382609
0.376563,0.003386957
0.376689,0.003391304
0.376821,0.003395652
0.376879,0.0034
0.376952,0.003404348
0.37702,0.003408696
0.377346,0.003413043
0.377417,0.003417391
0.377816,0.003421739
0.377842,0.003426087
0.377886,0.003430435
0.37791,0.003434783
0.377998,0.00343913
0.37803,0.003443478
0.37815,0.003447826
0.378595,0.003452174
0.378621,0.003456522
0.378688,0.00346087
0.378699,0.003465217
0.378761,0.003469565
0.37887,0.003473913
0.378918,0.003478261
0.378994,0.003482609
0.379117,0.003486957
0.379168,0.003491304
0.379323,0.003495652
0.379524,0.0035
0.379603,0.003504348
0.379656,0.003508696
0.379821,0.003513043
0.379965,0.003517391
0.380105,0.003521739
0.380174,0.003526087
0.380272,0.003530435
0.380408,0.003534783
0.380633,0.00353913
0.380668,0.003543478
0.38068,0.003547826
0.380764,0.003552174
0.380782,0.003556522
0.380789,0.00356087
0.381046,0.003565217
0.381053,0.003569565
0.381279,0.003573913
0.38129,0.003578261
0.38143,0.003582609
0.381732,0.003586957
0.38196,0.003591304
0.38209,0.003595652
0.382233,0.0036
0.382623,0.003604348
0.382699,0.003608696
0.382774,0.003613043
0.382984,0.003617391
0.383263,0.003621739
0.383331,0.003626087
0.383697,0.003630435
0.384284,0.003634783
0.384353,0.00363913
0.384666,0.003643478
0.384866,0.003647826
0.384919,0.003652174
0.38499,0.003656522
0.385419,0.00366087
0.386009,0.003665217
0.386138,0.003669565
0.386335,0.003673913
0.386346,0.003678261
0.38648,0.003682609
0.386532,0.003686957
0.386581,0.003691304
0.386934,0.003695652
0.386952,0.0037
0.38701,0.003704348
0.387042,0.003708696
0.387322,0.003713043
0.387704,0.003717391
0.387782,0.003721739
0.387893,0.003726087
0.388104,0.003730435
0.388769,0.003734783
0.38903,0.00373913
0.389067,0.003743478
0.389353,0.003747826
0.389646,0.003752174
0.389866,0.003756522
0.389939,0.00376087
0.390106,0.003765217
0.390127,0.003769565
0.390488,0.003773913
0.390578,0.003778261
0.39088,0.003782609
0.391025,0.003786957
0.3911,0.003791304
0.391299,0.003795652
0.39135,0.0038
0.391612,0.003804348
0.391657,0.003808696
0.391726,0.003813043
0.392227,0.003817391
0.392288,0.003821739
0.392319,0.003826087
0.392598,0.003830435
0.392639,0.003834783
0.392675,0.00383913
0.392955,0.003843478
0.393142,0.003847826
0.393197,0.003852174
0.393199,0.003856522
0.393486,0.00386087
0.393986,0.003865217
0.394335,0.003869565
0.394453,0.003873913
0.394552,0.003878261
0.394693,0.003882609
0.394705,0.003886957
0.394992,0.003891304
0.395135,0.003895652
0.395196,0.0039
0.395228,0.003904348
0.395427,0.003908696
0.395638,0.003913043
0.395648,0.003917391
0.395805,0.003921739
0.39606,0.003926087
0.396124,0.003930435
0.396291,0.003934783
0.396405,0.00393913
0.396602,0.003943478
0.396764,0.003947826
0.396968,0.003952174
0.397001,0.00396087
0.397091,0.003965217
0.397102,0.003969565
0.397399,0.003973913
0.397483,0.003978261
0.397572,0.003982609
0.397578,0.003986957
0.397617,0.003991304
0.39775,0.003995652
0.397866,0.004
0.398259,0.004004348
0.398473,0.004008696
0.398545,0.004013043
0.398568,0.004017391
0.398602,0.004021739
0.398704,0.004026087
0.398721,0.004030435
0.398868,0.004034783
0.399046,0.00403913
0.399302,0.004043478
0.399329,0.004047826
0.399345,0.004052174
0.399466,0.004056522
0.399563,0.00406087
0.399606,0.004065217
0.399753,0.004069565
0.399955,0.004073913
0.399969,0.004078261
0.400184,0.004082609
0.40071,0.004086957
0.400727,0.004091304
0.400848,0.004095652
0.4009,0.0041
0.401217,0.004104348
0.401273,0.004108696
0.401344,0.004113043
0.401574,0.004117391
0.401577,0.004121739
0.401667,0.004126087
0.401671,0.004130435
0.40185,0.004134783
0.401873,0.00413913
0.402106,0.004143478
0.402233,0.004147826
0.402275,0.004152174
0.402343,0.004156522
0.402379,0.00416087
0.402417,0.004165217
0.402762,0.004169565
0.402779,0.004173913
0.402851,0.004178261
0.402878,0.004182609
0.402927,0.004186957
0.402968,0.004191304
0.403306,0.004195652
0.403308,0.0042
0.403627,0.004204348
0.403666,0.004208696
0.403771,0.004213043
0.40407,0.004217391
0.404082,0.004221739
0.40451,0.004226087
0.404799,0.004230435
0.404804,0.004234783
0.404873,0.00423913
0.405056,0.004243478
0.405349,0.004247826
0.405548,0.004252174
0.405585,0.004256522
0.405636,0.00426087
0.405664,0.004265217
0.405744,0.004269565
0.405965,0.004273913
0.405995,0.004278261
0.406118,0.004282609
0.40618,0.004286957
0.406328,0.004291304
0.406411,0.004295652
0.406445,0.0043
0.406629,0.004304348
0.406631,0.004308696
0.406638,0.004313043
0.406686,0.004317391
0.406756,0.004321739
0.406771,0.004326087
0.406792,0.004330435
0.406874,0.004334783
0.406898,0.00433913
0.406901,0.004343478
0.406939,0.004347826
0.406972,0.004352174
0.406982,0.004356522
0.407008,0.00436087
0.407011,0.004365217
0.407106,0.004369565
0.407193,0.004373913
0.407245,0.004378261
0.407296,0.004382609
0.407485,0.004386957
0.407502,0.004391304
0.407536,0.004395652
0.407566,0.0044
