,PC1,PC2,Type
S_1736.Y9.0311,-0.254287486,-0.00723993,add_Mammal_animal
S_10376.Okapi2,-0.246386003,0.041824703,add_Mammal_animal
S_1736.R40.1011,-0.269789872,-0.021781306,add_Mammal_animal
S_1736.R50b.0910,-0.248070647,0.048627018,add_Mammal_animal
S_1736.B19.0111,-0.225597438,0.076490653,add_Mammal_animal
S_1736.B43.0211,-0.213035433,0.106622548,add_Mammal_animal
S_1736.O18.0211,-0.264911152,0.001077917,add_Mammal_animal
S_10376.Orang1,-0.235235307,0.161617864,add_Mammal_animal
S_10376.Gazelle2,-0.256775175,-0.040986109,add_Mammal_animal
S_10376.HyraxSTL,-0.266627727,-0.134991027,add_Mammal_animal
S_456.PM10x10808,-0.19123946,0.231309475,add_Mammal_animal
S_10376.Okapi1,-0.269891027,-0.041659723,add_Mammal_animal
S_1736.O18.0611,-0.272647866,-0.062761853,add_Mammal_animal
S_1736.O32c.0211,-0.269061453,-0.028899785,add_Mammal_animal
S_SRR7143768,-0.183775533,0.249824613,add_Mammal_animal
S_833.Leda.A73,-0.202587381,0.214759326,add_Mammal_animal
S_SRR7143758,-0.205351652,0.241564843,add_Mammal_animal
S_10376.BaboonW,-0.176119577,0.144591502,add_Mammal_animal
S_SRR7143750,-0.314190594,0.023614254,add_Mammal_animal
S_11349.sample0081,-0.286039352,0.002836166,add_Mammal_animal
S_SRR7143739,-0.278589962,0.139011819,add_Mammal_animal
S_ERR965152,-0.292011567,0.017717338,add_Mammal_animal
S_SRR7143782,-0.324904122,-0.024279179,add_Mammal_animal
S_2182.VHBBC0002,-0.235382427,0.106658662,add_Mammal_animal
S_2182.VHBJ0018,-0.206038806,0.145457273,add_Mammal_animal
S_455.PM27x11609,-0.171118393,0.238472516,add_Mammal_animal
S_833.Leda.C85,-0.141000388,0.240813224,add_Mammal_animal
S_ERR487296,-0.061692783,0.078308236,add_Mammal_animal
S_ERR487795,-0.058525051,0.095751486,add_Mammal_animal
S_ERR487110,-0.050914159,0.115246559,add_Mammal_animal
S_10394.D3.rep3.amb.8weeks.II,-0.054554271,0.053799157,add_Mammal_animal
S_894.UY6.lane3.NoIndex.L003,-0.086510256,0.082670476,add_Mammal_animal
S_1056.Pro.cri.Cinci.2,-0.253680323,0.201526796,add_Mammal_animal
S_ERR1904454,-0.060533246,0.14904551,add_Mammal_animal
S_10093.s2d42p7,-0.032589849,0.13859707,add_Mammal_animal
S_833.France.DC16,-0.037661024,0.153137857,add_Mammal_animal
S_ERR1904450,-0.111515776,0.136227752,add_Mammal_animal
S_ERR1904449,-0.090063681,0.142096433,add_Mammal_animal
S_ERR1904435,-0.061701333,0.16177849,add_Mammal_animal
S_10323.Y03K14.F.0911B,0.060706955,0.076048196,add_Mammal_animal
S_10323.K01L02.F.0112A,0.064658307,0.080799661,add_Mammal_animal
S_10323.K15B02.F.0811B,0.093077946,0.07422486,add_Mammal_animal
S_10323.K11Y02.F.1011A,0.036734866,0.069962528,add_Mammal_animal
S_10323.K05G02.F.1011A,0.068752458,0.08438441,add_Mammal_animal
S_10323.K03K04.F.0911A,0.043791557,0.073608475,add_Mammal_animal
S_10323.B46G19.F.0911A,0.047677256,0.089924908,add_Mammal_animal
S_10323.L29W30.F.0412A,0.145429532,0.067091759,add_Mammal_animal
S_10323.K13R16.F.0112B,0.100894302,0.056119487,add_Mammal_animal
S_SRR7143728,-0.232486072,0.224613317,add_Mammal_animal
S_SRR7143785,-0.251661215,0.207315419,add_Mammal_animal
S_894.SV1534.lane5.NoIndex.L005,-0.165806206,0.240561886,add_Mammal_animal
S_833.AHD.15,-0.159445531,0.248643537,add_Mammal_animal
S_833.Leda.C21,-0.199073126,0.238455489,add_Mammal_animal
S_1734.LD.DTS1220,-0.00578433,0.12738541,add_Mammal_animal
S_11113.19,-0.030352287,0.14518245,add_Mammal_animal
S_11113.164,-0.0189564,0.138927137,add_Mammal_animal
S_ERR488426,-0.029985915,0.151404201,add_Mammal_animal
S_894.F1434.lane5.NoIndex.L005,0.115791834,-0.074906654,add_Mammal_animal
S_894.F1456.lane5.NoIndex.L005,0.168066489,-0.100937395,add_Mammal_animal
S_894.OS473.lane3.NoIndex.L003,0.130586455,-0.093466933,add_Mammal_animal
S_894.UY101.lane3.NoIndex.L003,0.146793847,-0.050718742,add_Mammal_animal
S_894.YY1066.lane5.NoIndex.L005,0.163403778,-0.100389339,add_Mammal_animal
S_894.F1462.lane5.NoIndex.L005,0.181622387,-0.106249577,add_Mammal_animal
S_894.UY1345.lane5.NoIndex.L005,0.112790004,-0.07449462,add_Mammal_animal
S_894.SV1421.lane5.NoIndex.L005,0.109193831,-0.073159436,add_Mammal_animal
S_894.C1492.lane5.NoIndex.L005,0.166643408,-0.117092508,add_Mammal_animal
S_894.Arm1982.lane2.NoIndex.L002,0.213475155,-0.103435508,add_Mammal_animal
S_894.C1479.lane5.NoIndex.L005,0.188303921,-0.131003668,add_Mammal_animal
S_894.SV1726.lane5.NoIndex.L005,0.162740746,-0.135544306,add_Mammal_animal
S_894.YY1183.lane5.NoIndex.L005,0.164062315,-0.123203574,add_Mammal_animal
S_894.SV1719.lane5.NoIndex.L005,0.187663842,-0.127364233,add_Mammal_animal
S_894.OS566.lane3.NoIndex.L003,0.223003999,-0.089000698,add_Mammal_animal
S_10407.Lc154,0.238372402,0.03614688,add_Mammal_animal
S_10407.Lc348.B,0.243991887,0.023998481,add_Mammal_animal
S_894.MR508.lane3.NoIndex.L003,0.28429223,-0.029645617,add_Mammal_animal
S_894.MR516.lane3.NoIndex.L003,0.266197829,-0.027222243,add_Mammal_animal
S_894.MR501.lane3.NoIndex.L003,0.263483326,-0.028092798,add_Mammal_animal
S_894.F1439.lane5.NoIndex.L005,0.134465493,-0.130263863,add_Mammal_animal
S_894.YY1180.lane5.NoIndex.L005,0.178098181,-0.129916972,add_Mammal_animal
S_894.MR222.lane3.NoIndex.L003,0.224591598,-0.093017335,add_Mammal_animal
S_894.UY1382.lane5.NoIndex.L005,0.187913562,-0.108315344,add_Mammal_animal
S_894.MR316.lane3.NoIndex.L003,0.140996263,-0.137466726,add_Mammal_animal
S_10141.G.skin.head.T7.5,0.129386134,-0.15055446,add_Mammal_animal
S_894.SV1292.lane5.NoIndex.L005,0.224179514,-0.089887094,add_Mammal_animal
S_894.C1500.lane5.NoIndex.L005,0.26092294,-0.066590283,add_Mammal_animal
S_894.MR491.lane3.NoIndex.L003,0.258354095,-0.055397059,add_Mammal_animal
S_894.YY1827.lane2.NoIndex.L002,0.241346777,-0.051452161,add_Mammal_animal
S_894.OS1709.lane5.NoIndex.L005,0.257971285,-0.047843927,add_Mammal_animal
S_894.MR522.lane3.NoIndex.L003,0.275392013,-0.04461126,add_Mammal_animal
S_894.OS1699.lane5.NoIndex.L005,0.262493418,-0.038078266,add_Mammal_animal
S_894.UY912.lane3.NoIndex.L003,0.240178461,-0.034183278,add_Mammal_animal
S_894.OR408.lane3.NoIndex.L003,0.058303115,-0.157278702,add_Mammal_animal
S_894.MR272.lane3.NoIndex.L003,0.058832513,-0.168844354,add_Mammal_animal
S_894.F1467.lane5.NoIndex.L005,0.111516355,-0.156914541,add_Mammal_animal
S_894.OS474.lane3.NoIndex.L003,0.062364384,-0.194717571,add_Mammal_animal
S_894.GV1035.lane5.NoIndex.L005,0.093456533,-0.170088802,add_Mammal_animal
S_894.YY1591.lane5.NoIndex.L005,0.133065724,-0.146681238,add_Mammal_animal
S_894.C1480.lane5.NoIndex.L005,0.151633662,-0.136006055,add_Mammal_animal
S_894.MR281.lane3.NoIndex.L003,0.153629818,-0.149668936,add_Mammal_animal
S_894.UY171.lane3.NoIndex.L003,0.17743793,-0.100764813,add_Mammal_animal
S_894.SV1724.lane5.NoIndex.L005,0.178436787,-0.128306123,add_Mammal_animal
S_797.17.CB.BackRightPaw,0.240281978,0.028559377,add_Mammal_animal
S_894.YY1169.lane5.NoIndex.L005,0.120553731,-0.14942893,add_Mammal_animal
S_894.OS1914.lane2.NoIndex.L002,0.105386997,-0.151635039,add_Mammal_animal
S_894.MR276.lane3.NoIndex.L003,0.096561561,-0.167436962,add_Mammal_animal
S_894.YY1166.lane5.NoIndex.L005,0.158306904,-0.140420048,add_Mammal_animal
S_894.OS530.lane3.NoIndex.L003,0.088552938,-0.154337978,add_Mammal_animal
S_10141.F.skin.body.T7.3,0.140275138,-0.16527032,add_Mammal_animal
S_2338.0624.5.I,0.258858694,-0.001658452,add_Mammal_animal
S_894.C1484.lane5.NoIndex.L005,0.108549124,-0.147116769,add_Mammal_animal
S_894.UY148.lane3.NoIndex.L003,0.119545484,-0.156133666,add_Mammal_animal
S_10141.F.skin.head.T4.5,0.237794821,0.030400252,add_Mammal_animal
S_10141.F.skin.head.T2.5,0.248463596,0.029597027,add_Mammal_animal
