,PC1,PC2,Type
S_2202.Stool508,-0.340781668,-0.047308617,Gut
S_2202.Stool368,-0.260448957,-0.063519817,Gut
S_2202.Stool410,-0.335642512,-0.043401735,Gut
S_2202.Stool333,-0.176654749,-0.080547723,Gut
S_2202.Stool530,-0.292379835,-0.052350231,Gut
S_2202.Stool334,-0.275129879,-0.061943615,Gut
S_2202.Stool290,-0.319722102,-0.005788977,Gut
S_2202.Stool539,-0.255406866,-0.050870755,Gut
S_2202.Stool397,-0.287617694,-0.060201984,Gut
S_2202.Stool305,-0.235198125,-0.057399272,Gut
S_2202.Stool416,-0.336762297,-0.045020763,Gut
S_2202.Stool323,-0.244186611,-0.049853901,Gut
S_2202.Stool469,-0.294324524,-0.058938313,Gut
S_2202.Stool373,-0.298341577,-0.049624075,Gut
S_2202.Stool332,-0.168487413,-0.086251182,Gut
S_2202.Stool363,-0.218152754,-0.037366615,Gut
S_2202.Stool440,-0.354664662,-0.050718089,Gut
S_2202.Stool484,-0.310488544,-0.009021608,Gut
S_2202.Stool346,-0.344827965,-0.042227294,Gut
S_2202.Stool427,-0.322436403,-0.060247904,Gut
S_2202.Stool297,-0.272527373,-0.061281918,Gut
S_2202.Stool548,-0.272457912,-0.049206388,Gut
S_2202.Stool534,-0.320447406,-0.045653667,Gut
S_2202.Stool402,-0.340902732,-0.049225765,Gut
S_2202.Stool406,-0.34021678,-0.051584191,Gut
S_2202.Stool311,-0.231926201,-0.021484241,Gut
S_2202.Stool372,-0.153496393,-0.067057744,Gut
S_2202.Stool545,-0.346492697,-0.046862636,Gut
S_2202.Stool506,-0.341052005,-0.05122707,Gut
S_2202.Stool477,-0.350162406,-0.058011305,Gut
S_2202.Stool292,-0.288699016,-0.047531594,Gut
S_2202.Stool287,-0.195653001,-0.085327782,Gut
S_2202.Stool310,-0.237586564,-0.039947716,Gut
S_2202.Stool364,-0.259608359,-0.032261188,Gut
S_2202.Stool317,-0.186080307,-0.077040178,Gut
S_2202.Stool518,-0.346075971,-0.050019923,Gut
S_2202.Stool400,-0.341381686,-0.047999932,Gut
S_2202.Stool322,-0.35220451,-0.059142427,Gut
S_2202.Stool415,-0.349895267,-0.06084019,Gut
S_2202.Stool379,-0.301985755,-0.041880472,Gut
S_2202.Stool445,-0.34502186,-0.041501852,Gut
S_2202.Stool306,-0.186075867,-0.065283388,Gut
S_2202.Stool537,-0.314548659,-0.046232943,Gut
S_2202.Stool421,-0.32412495,-0.046726165,Gut
S_2202.Stool482,-0.310346672,-0.044441134,Gut
S_2202.Stool369,-0.271773373,-0.055136498,Gut
S_2202.Stool423,-0.321449197,-0.05696701,Gut
S_2202.Stool301,-0.203102861,-0.065021936,Gut
S_2202.Stool361,-0.178760866,-0.054484151,Gut
S_2202.Stool315,-0.190298564,-0.055807064,Gut
S_2202.Stool413,-0.332819181,-0.055328599,Gut
S_2202.Stool314,-0.242602961,-0.062734031,Gut
S_2202.Stool473,-0.348250237,-0.049528573,Gut
S_2202.Stool422,-0.315769478,-0.061064218,Gut
S_2202.Stool331,-0.335144522,-0.054901066,Gut
S_2202.Stool245,-0.145581108,-0.087906702,Gut
S_2202.Stool192,-0.173404033,-0.047276307,Gut
S_2202.Stool222,-0.166037861,-0.077939079,Gut
S_2202.Stool157,-0.348921895,-0.054250791,Gut
S_2202.Stool183,-0.227288636,-0.031758514,Gut
S_2202.Stool336,-0.316765203,-0.029627989,Gut
S_2202.Stool284,-0.195139888,-0.033272234,Gut
S_2202.Stool55,-0.295895979,-0.039208849,Gut
S_2202.Stool42,-0.256301315,-0.002570675,Gut
S_2202.Stool58,-0.21590007,-0.074858844,Gut
S_2202.Stool70,-0.233838003,-0.045820574,Gut
S_2202.Stool31,-0.242715481,-0.065884176,Gut
S_2202.Stool29,-0.273911152,-0.047185797,Gut
S_2202.Stool59,-0.295745376,-0.041131455,Gut
S_2202.Stool71,-0.309579946,-0.03431958,Gut
S_2202.Stool198,-0.237524397,-0.082146061,Gut
S_2202.Stool90,-0.263402404,0.002032659,Gut
S_2202.Stool46,-0.19577393,-0.060100103,Gut
S_2202.Stool171,-0.301942387,-0.057159596,Gut
S_2202.Stool78,-0.212405785,-0.081308833,Gut
S_2202.Stool350,-0.211212534,-0.070249597,Gut
S_2202.Stool288,-0.253191878,-0.040791241,Gut
S_2202.Stool542,-0.232093385,-0.067831145,Gut
S_2202.Stool112,-0.280672741,-0.025395572,Gut
S_2202.Stool546,-0.320850528,-0.041329759,Gut
S_2202.Stool130,-0.26536996,-0.04200321,Gut
